Year,Month,MonthYear,Trips,woSeasonal
2013,6,2013-06-01,21212.8,10185.36852713178
2013,7,2013-07-01,31565.09677419355,19116.17089272318
2013,8,2013-08-01,37008.709677419356,21317.151537884467
2013,9,2013-09-01,38731.4,19913.275193798447
2013,10,2013-10-01,36639.32258064516,21140.95153788447
2013,11,2013-11-01,24389.6,20195.30852713178
2013,12,2013-12-01,15499.225806451614,21414.15153788447
2014,1,2014-01-01,10556.41935483871,23424.137021755436
2014,2,2014-02-01,8834.0,20758.843630376618
2014,3,2014-03-01,15420.290322580646,23270.814441110277
2014,4,2014-04-01,24336.366666666665,20950.68352713178
2014,5,2014-05-01,30806.25806451613,21794.058064516128
2014,6,2014-06-01,34522.6,23495.16852713178
2014,7,2014-07-01,34244.87096774193,21795.945086271564
2014,8,2014-08-01,34241.16129032258,18549.603150787694
2014,9,2014-09-01,35071.76666666667,16253.641860465115
2014,10,2014-10-01,29811.09677419355,14312.72573143286
2014,11,2014-11-01,19455.366666666665,15261.075193798446
2014,12,2014-12-01,14111.290322580646,20026.2160540135
2015,1,2015-01-01,10118.387096774193,22986.10476369092
2015,2,2015-02-01,7769.071428571428,19693.915058948045
2015,3,2015-03-01,12056.677419354839,19907.201537884466
2015,4,2015-04-01,23612.066666666666,20226.38352713178
2015,5,2015-05-01,33536.096774193546,24523.896774193545
2015,6,2015-06-01,33047.166666666664,22019.735193798446
2015,7,2015-07-01,35959.74193548387,23510.816054013503
2015,8,2015-08-01,38409.8064516129,22718.248312078013
2015,9,2015-09-01,42741.933333333334,23923.80852713178
2015,10,2015-10-01,39106.3870967742,23608.016054013508
2015,11,2015-11-01,32908.86666666667,28714.57519379845
2015,12,2015-12-01,25938.677419354837,31853.603150787694
2016,1,2016-01-01,16434.129032258064,29301.846699174792
2016,2,2016-02-01,19329.344827586207,31254.188457962824
2016,3,2016-03-01,29668.74193548387,37519.2660540135
2016,4,2016-04-01,33769.03333333333,30383.350193798447
2016,5,2016-05-01,39107.83870967742,30095.638709677416
2016,6,2016-06-01,48663.9,37636.46852713179
2016,7,2016-07-01,44511.54838709677,32062.622505626405
2016,8,2016-08-01,50231.096774193546,34539.53863465866
2016,9,2016-09-01,54924.7,36106.575193798446
2016,10,2016-10-01,50750.51612903226,35252.14508627157
2016,11,2016-11-01,39890.1,35695.80852713178
2016,12,2016-12-01,26194.064516129034,32108.99024756189
2017,1,2017-01-01,23441.16129032258,36308.87895723931
2017,2,2017-02-01,28273.14285714286,40197.986487519476
2017,3,2017-03-01,23473.16129032258,31323.68540885221
2017,4,2017-04-01,43846.23333333333,40460.550193798445
2017,5,2017-05-01,49136.3870967742,40124.1870967742
2017,6,2017-06-01,57716.9,46689.46852713179
2017,7,2017-07-01,55989.58064516129,43540.65476369092
2017,8,2017-08-01,58593.22580645161,42901.66766691672
2017,9,2017-09-01,62647.03333333333,43828.908527131774
2017,10,2017-10-01,61210.74193548387,45712.37089272318
2017,11,2017-11-01,44353.73333333333,40159.441860465115
2017,12,2017-12-01,28708.322580645163,34623.24831207802
